 5n-lacey.09-Eng        Tebo-ICT,  license #BoJie

 Test Fixture Nails     296/296  Selected Drills           05-May-2018 11:05
                        296 Nails,  2417 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$248     -0.1382    0.5256   2  AA   (B)  #1453 SLMUX_AUX_DP     T PIN MTP46004.1
$249     -0.1374    0.5917   3  AA   (B)  #1452 SLMUX_AUX_DN     T PIN MTP46005.1
$250     -0.1778    0.6313   3  AA   (B)  #801  DDPC_CTRL_CLK    T PIN MTP46006.1
$251     -0.1419    0.7072   1  AA   (B)  #34   PWR_SL           T PIN MTP_BF47006.1
$252     -0.0829    0.6452   2  AA   (B)  #2    GND              T PIN MTP_BF47010.1
$253     -0.0238    0.6452   3  AA   (B)  #2    GND              T PIN MTP_BF47009.1
$254      0.0352    0.6452   3  AA   (B)  #2    GND              T PIN MTP_BF47008.1
$255      0.0943    0.6452   2  AA   (B)  #2    GND              T PIN MTP_BF47007.1
$256      0.1578    0.6453   3  AA   (B)  #2    GND              T PIN MTP_BF47011.1
$257      0.2129    0.5744   3  AA   (B)  #63   SL_HPD2          T PIN MTP47002.1
$258      0.2667    0.5969   2  AA   (B)  #64   SL_HPD1B         T PIN MTP47003.1
$259      0.1533    0.7072   2  AA   (B)  #34   PWR_SL           T PIN MTP_BF47001.1
$260     -7.4019    2.8504   1  AA   (T)  #1486 N68890054        T PIN MTTP49002.1
$261     -7.0850    2.8504   1  AA   (T)  #1487 N68890069        T PIN MTTP49003.1
$262     -6.4728    2.8543   3  AA   (T)  #1485 N68890044        T PIN MTTP49001.1
$263     -7.9699    1.6468   2  AA   (T)  #391  N17386           T PIN MTTP_BF40005.1
$264     -7.9699    1.5877   3  AA   (T)  #390  N17390           T PIN MTTP_BF40004.1
$265     -8.0285    1.6468   3  AA   (T)  #392  N17382           T PIN MTTP_BF40006.1
$266     -8.0305    1.5877   2  AA   (T)  #389  N17394           T PIN MTTP_BF40003.1
$267     -8.0236    1.2549   1  AA   (T)  #387  CODEC_AMP_OUTL   T PIN MTTP_BF40001.1
$268     -7.8681    1.2451   3  AA   (T)  #1377 AZ_SYNC_1        T PIN MTTP40002.1
$269     -7.6604    1.2854   3  AA   (T)  #1376 AZ_SDATA_OUT_1   T PIN MTTP40001.1
$270     -7.6358    1.3297   3  AA   (T)  #1374 N09143           T PIN MTTP40004.1
$271     -7.5157    1.6595   1  AA   (T)  #388  CODEC_AMP_OUTR   T PIN MTTP_BF40002.1
$272     -6.2018    1.3189   2  AA   (T)  #466  PMIC_EN_P        T PIN MTTP59005.1
$273     -6.4181    0.2032   3  AA   (T)  #1489 WIFI_GPIO0       T PIN MTTP50001.1
$274     -6.2268    0.2563   3  AA   (T)  #1493 WIFI_GPIO2       T PIN MTTP50003.1
$275     -5.8176    0.0880   2  AA   (T)  #1508 N56817119        T PIN MTTP50013.1
$276     -5.9221    0.3016   2  AA   (T)  #329  3P3V_RADIO       T PIN MTTP50004.1
$277     -5.6541    1.1598   3  AA   (T)  #1312 SKL_SLP_S4_N     T PIN MTTP59012.1
$278     -5.5610    1.5225   2  AA   (T)  #820  REG33            T PIN MTTP60002.1
$279     -5.6100    1.6000   2  AA   (T)  #921  PMIC_BATTID      T PIN MTTP60001.1
$280     -5.1063    1.5500   2  AA   (T)  #794  SKL_VCCST_PWRGD  T PIN MTTP59008.1
$281     -5.1394    1.4596   2  AA   (T)  #1546 SKL_PCH_PWROK    T PIN MTTP59011.1
