 5n-lacey.09-Eng        Tebo-ICT,  license #BoJie
U61003       -1.9320    1.7309   90.0  AA   (T)  'DFN9_1P5X2XP8_P4MM', 'DFN9_1P5X2XP8_P4MM'
U61004       -1.7641    1.8371  270.0  AA   (T)  'SOT886_1P45X1XP6_P5MM', 'SOT886_1P45X1XP6_P5MM'
U61006       -1.9646    1.6311   90.0  AA   (T)  'SOT886_1P45X1XP6_P5MM', 'SOT886_1P45X1XP6_P5MM'
U61007       -1.6558    1.8371  270.0  AA   (T)  'SOT886_1P45X1XP6_P5MM', 'SOT886_1P45X1XP6_P5MM'
U62001       -7.3205    1.7663  180.0  AA   (T)  'DFN8_1P6X1XP6_P4MM', 'DFN8_1P6X1XP6_P4MM'
U62003       -6.1669    2.3504    0.0  AA   (T)  'BGA4_2X2_P96XP96XP59_P5MM', 'BGA4_2X2_P96XP96XP59_P5MM'
U63001       -6.8445    0.8857  180.0  AA   (T)  'QFN33_4X4X1P05_P4MM', 'QFN33_4X4X1P05_P4MM'
U64002       -6.3576    2.3805  180.0  AA   (T)  'DFN8_1P6X1XP6_P4MM', 'DFN8_1P6X1XP6_P4MM'
U64004       -7.4878    1.8804  180.0  AA   (T)  'DFN8_1P6X1XP6_P4MM', 'DFN8_1P6X1XP6_P4MM'
U65001       -5.7385    2.5317    0.0  AA   (T)  'BGA8_P95X1P95XP5_P5', 'BGA8_P95X1P95XP5_P5'
U65003       -0.9711    0.3737   90.0  AA   (T)  'BGA8_P95X1P95XP5_P5', 'BGA8_P95X1P95XP5_P5'
U65004       -6.3654    0.2879  270.0  AA   (T)  'BGA8_P95X1P95XP5_P5', 'BGA8_P95X1P95XP5_P5'
U6601        -3.6308    0.2098  270.0  AA   (T)  'QFN49_6P1X6P1XP8_P4', 'QFN49_6P1X6P1XP8_P4'
U6701        -3.6768    0.8318  180.0  AA   (T)  'QFN21_3P1X4P1XP8_P4-2', 'QFN21_3P1X4P1XP8_P4-2'
U6702        -2.3605    0.7759    0.0  AA   (T)  'QFN21_3P1X4P1XP8_P4-2', 'QFN21_3P1X4P1XP8_P4-2'
U6703        -2.1022    1.0302    0.0  AA   (T)  'QFN13_3X3XP8_P4MM', 'QFN13_3X3XP8_P4MM'
U6801        -4.1245    0.5472  270.0  AA   (T)  'QFN21_3P1X4P1XP8_P4-2', 'QFN21_3P1X4P1XP8_P4-2'
U69002       -0.4770    0.2013  180.0  AA   (T)  'QFN10_1P4X1P8XP55_P4MM', 'QFN10_1P4X1P8XP55_P4MM'
U72001       -7.9144    2.5925  270.0  AA   (T)  'BGA20_5X4_2P05X1P65XP6_P4MM', 'BGA20_5X4_2P05X1P65XP6_P4MM'
J3302        -5.3445   -0.1575  180.0  AA   (B)  'CONN_B2B_R_64-X939111-001', 'CONN_B2B_R_64-X939111-001'
J39001       -1.2276    1.2486  128.0  AA   (T)  'CONN_FPC_4_4MTG_M1005255-001', 'CONN_FPC_4_4MTG_M1005255-001'
J41002       -1.0222    0.9803   90.0  AA   (T)  'CONN_B2B_2_2MTG_4P2X4P5X1P82_1P2MM', 'CONN_B2B_2_2MTG_4P2X4P5X1P82_1P2MM'
J41003       -8.2579    1.5864    0.0  AA   (T)  'CONN_B2B_2_2MTG_4P2X4P5X1P82_1P2MM', 'CONN_B2B_2_2MTG_4P2X4P5X1P82_1P2MM'
J41004       -8.9845    1.6762  180.0  AA   (B)  'CONN-AUDIO-JACK-5-M1012213-001', 'CONN-AUDIO-JACK-5-M1012213-001'
J41005       -8.6759    1.6055   90.0  AA   (T)  'CONN_B2B_R_8_4MTG_4P7X2P6X1P2_P4MM', 'CONN_B2B_R_8_4MTG_4P7X2P6X1P2_P4MM'
J45001       -8.7384    2.6535    0.0  AA   (T)  'SP-CONN-USB3-A_9_M1015489-001', 'SP-CONN-USB3-A_9_M1015489-001'
J47001        0.3297    0.3195   90.0  AA   (T)  'CONN_FPC-R_40_12MTG_21P2X4P15X1P1_P4MM', 'CONN_FPC-R_40_12MTG_21P2X4P15X1P1_P4MM'
J48001       -4.9508    0.1181    0.0  AA   (T)  'CONN_B2B_R_12_4MTG-X930301-001', 'CONN_B2B_R_12_4MTG-X930301-001'
J49002       -7.3476    2.5197    0.0  AA   (T)  'CONN_B2B_R_50_4MTG_13P1X2P6X1P2_P4MM', 'CONN_B2B_R_50_4MTG_13P1X2P6X1P2_P4MM'
J49003       -6.5563    2.5197    0.0  AA   (T)  'CONN_B2B_R_80_4MTG_19P1X2P6X1P2_P4MM', 'CONN_B2B_R_80_4MTG_19P1X2P6X1P2_P4MM'
J50001       -6.6476   -0.2638   90.0  AA   (T)  'CONN_COAX_4_2P1X2X1P0MM', 'CONN_COAX_4_2P1X2X1P0MM'
J50002       -5.5453   -0.2638   90.0  AA   (T)  'CONN_COAX_4_2P1X2X1P0MM', 'CONN_COAX_4_2P1X2X1P0MM'
J53001       -8.8968    1.9394    0.0  AA   (T)  'SP-CONN-MDP_21_M1019977-XXX', 'SP-CONN-MDP_21_M1019977-XXX'
J54001       -4.8781    2.7165    0.0  AA   (T)  'CONN_B2B_R_36_4MTG_9P5X3P4X1P15_P4MM', 'CONN_B2B_R_36_4MTG_9P5X3P4X1P15_P4MM'
J55001       -5.6114    2.7165    0.0  AA   (T)  'CONN_B2B_R_50_4MTG_12P6X2P5X1_P4MM', 'CONN_B2B_R_50_4MTG_12P6X2P5X1_P4MM'
J70001       -3.2972    0.2776  180.0  AA   (B)  'CONN_B2B_6_X950860-001', 'CONN_B2B_6_X950860-001'
J70002       -3.2972    0.0413  180.0  AA   (B)  'CONN_B2B_8_17P2X5P2X1P625_2MM', 'CONN_B2B_8_17P2X5P2X1P625_2MM'
J70003       -3.2972    0.5335  180.0  AA   (B)  'CONN_B2B_8_17P2X5P2X1P625_2MM', 'CONN_B2B_8_17P2X5P2X1P625_2MM'
J75001       -4.2071    3.0266  180.0  AA   (B)  'SPRING-FINGER_M1030044-001', 'SPRING-FINGER_M1030044-001'
J75002       -3.8396    3.0266  180.0  AA   (B)  'SPRING-FINGER_M1030044-001', 'SPRING-FINGER_M1030044-001'
J75003       -3.4722    3.0266  180.0  AA   (B)  'SPRING-FINGER_M1030044-001', 'SPRING-FINGER_M1030044-001'
J75004       -3.1047    3.0266  180.0  AA   (B)  'SPRING-FINGER_M1030044-001', 'SPRING-FINGER_M1030044-001'
J75005       -2.7373    3.0266  180.0  AA   (B)  'SPRING-FINGER_M1030044-001', 'SPRING-FINGER_M1030044-001'
J75006       -2.3698    3.0112  180.0  AA   (B)  'SPRING-FINGER_M1030044-001', 'SPRING-FINGER_M1030044-001'
J75007       -2.0024    3.0089  180.0  AA   (B)  'SPRING-FINGER_M1030044-001', 'SPRING-FINGER_M1030044-001'
MP76021      -3.9941    1.7165  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76023      -5.7972    0.3898  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76024      -4.5374    0.1703  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76025      -5.9665    1.4134  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76026      -3.9280    2.2480  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76027      -6.6437    0.2913  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76028      -7.5787    1.7512  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76029      -2.3531    1.2638  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76030      -5.0295    2.8110  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76031      -1.8012    1.3937  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76032      -3.3023    0.4931    0.0  AA   (T)  'SPACER_M1012486-001', 'SPACER_M1012486-001'
MP76033      -4.2303    1.5591    0.0  AA   (T)  'SPACER_M1012486-001', 'SPACER_M1012486-001'
MP76034      -0.3839    0.4882  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76035      -1.7224   -0.1024  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76036      -2.1563    2.2480  180.0  AA   (B)  'SPACER_M1009352-002', 'SPACER_M1009352-002'
MP76037      -5.9665    1.4134    0.0  AA   (T)  'SPACER_M1012486-001', 'SPACER_M1012486-001'
MP76038      -7.5787    1.7512    0.0  AA   (T)  'SPACER_M1012486-001', 'SPACER_M1012486-001'
MP76040      -1.6043    1.4724    0.0  AA   (T)  'SPACER_M1012486-001', 'SPACER_M1012486-001'
MP76041      -0.3839    0.4882    0.0  AA   (T)  'SPACER_M1012486-001', 'SPACER_M1012486-001'
P18001       -4.2605    1.9319  180.0  AA   (B)  'CONN_CMC-ADAPTER-35P-1GNDPAD', 'CONN_CMC-ADAPTER-35P-1GNDPAD'
P50001       -6.6476    0.2362    0.0  AA   (T)  'CONN_COAX_4_2X2XP7MM', 'CONN_COAX_4_2X2XP7MM'
P50002       -5.5453    0.2362    0.0  AA   (T)  'CONN_COAX_4_2X2XP7MM', 'CONN_COAX_4_2X2XP7MM'
S56001       -0.8237    0.7091    0.0  AA   (T)  'SW_TACT_6_3P5X2P7X1P4_3P125X1P675MM', 'SW_TACT_6_3P5X2P7X1P4_3P125X1P675MM'
X1501        -2.3141    1.2468  180.0  AA   (T)  'XTAL_4_2X1P6XP5M_1P4X1P1MM', 'XTAL_4_2X1P6XP5M_1P4X1P1MM'
Y20002       -1.7433    1.9701  180.0  AA   (T)  'XTAL_3P3X1P6XP9_2P5', 'XTAL_3P3X1P6XP9_2P5'
Y28001       -3.9284    0.1555  270.0  AA   (T)  'XTAL2_3P3X1P6XP9', 'XTAL2_3P3X1P6XP9'
Y43001       -1.8663    0.7557  180.0  AA   (T)  'XTAL_SM4_2X1P6XP7_1P35X1MM', 'XTAL_SM4_2X1P6XP7_1P35X1MM'
Y44001       -2.3555    0.5984    0.0  AA   (T)  'XTAL_SM4_2X1P6XP7_1P35X1MM', 'XTAL_SM4_2X1P6XP7_1P35X1MM'
Y49001       -7.0098    2.8315   90.0  AA   (T)  'XTAL_4_2X1P6XP45_1P47X1P15MM', 'XTAL_4_2X1P6XP45_1P47X1P15MM'
Y50001       -6.3508    0.1055  270.0  AA   (T)  'XTAL4_3P25X2P55XP75_2P12X1P6MM', 'XTAL4_3P25X2P55XP75_2P12X1P6MM'
GTP10006     -3.4500    1.3200  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP15001     -4.1813    1.6450  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP15002     -2.5450    2.0350  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP15003     -2.5050    2.0050  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP15004     -3.7323    1.2205  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP21013     -1.9409    1.8356  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP25024     -2.2500    1.6555  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP25030     -1.5571    1.6865    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP25031     -1.5571    1.6478    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP25032     -1.9112    2.0750    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP25033     -1.8600    2.0750    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP25034     -1.5679    1.9606  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP25035     -1.5679    2.0118  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP26005     -2.5300    2.0900  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP26006     -2.4650    2.0950  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP28010     -3.9665   -0.0345  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP28012     -4.6177    0.4285  180.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP30001     -5.1531    0.4349    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP30002     -5.0319    0.4373    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP31001     -4.7362   -0.0630    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP34001     -6.5516    1.4217  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34002     -6.6016    1.4716  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34003     -6.5016    1.5216  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34004     -6.5516    1.5216  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34005     -6.6016    1.5216  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34008     -6.6016    1.5717  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34009     -6.5016    1.6217  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34010     -1.8691    1.0226    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP34011     -6.5016    1.6717  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34012     -6.5516    1.6717  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34016     -6.1693    1.6217  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34017     -6.2693    1.6717  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34018     -6.2693    1.7216  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34019     -6.1693    1.7216  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34020     -6.2693    1.7716  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34021     -6.2193    1.7716  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34022     -6.1693    1.7716  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34023     -6.2693    1.8217  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34029     -6.5516    1.4716  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34030     -6.5016    1.4716  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34032     -6.6016    1.4217  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34040     -6.1181    1.6228  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34041     -6.0452    1.5808  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP34049     -6.5516    1.7216  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP43003     -2.1413    0.5395  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP43012     -1.7065    0.0298  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP43013     -1.5205    0.0957  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP43014     -1.5717    0.1153  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP43015     -1.0532    0.5404   90.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP43016     -1.0532    0.1486  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP43017     -2.5217    0.1034  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP43018     -1.7037    0.2362  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP43019     -2.7589    0.5371   90.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP43020     -1.9393    0.7003  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP43021     -1.4500    0.5000  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP43022     -1.4500    0.5550  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP43023     -1.6450   -0.1650  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP43024     -1.7450   -0.1650  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP43025     -1.4500   -0.0100  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP43026     -1.6950   -0.1650  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP43027     -1.7950   -0.1650    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP43028     -1.9114    0.6260  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP43029     -1.7579    0.0709  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP44001     -2.2904    0.2411   90.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP44002     -2.6486    0.0827  270.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP44003     -2.6476   -0.0354  270.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP44004     -2.6476    0.0236  270.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP44015     -3.1575    0.3173  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP44020     -2.4276    0.6256  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP44021     -2.3550   -0.1600  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP44022     -2.2050   -0.1600  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP44023     -2.8700   -0.1700  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP44024     -2.6650   -0.1700  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP44025     -2.7400   -0.1700  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP44026     -2.9169   -0.1748  270.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP44027     -2.8050   -0.1700    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP49003     -6.6496    2.7289    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP55004     -5.5176    2.6661  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP55005     -5.6185    2.6295  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP55006     -5.6439    2.6791  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP56003     -1.7343    0.9921  180.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP56006     -1.7480    1.0965    0.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP56008     -1.8760    0.9636    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP56009     -1.8032    1.2657    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP56010     -1.7067    1.1909    0.0  AA   (T)  'SP_TP_SMDP58MM', 'SP_TP_SMDP58MM'
GTP59001     -5.2260    1.5264  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
GTP60002     -5.2201    1.3099  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
H76001       -4.4354    3.0167    0.0  AA   (T)  'SP-MTG_HOLE_OVALSLOT_1P10X2P10_0P60X1P60D', 'SP-MTG_HOLE_OVALSLOT_1P10X2P10_0P60X1P60D'
H76002       -1.4014   -0.1533    0.0  AA   (T)  'SP-MTG_HOLE_OVALSLOT_1P10X2P10_0P60X1P60D', 'SP-MTG_HOLE_OVALSLOT_1P10X2P10_0P60X1P60D'
H76010       -8.4548    2.8534    0.0  AA   (T)  'MTG_HOLE_C2P50D-NP', 'MTG_HOLE_C2P50D-NP'
H76011       -8.4548    1.3231    0.0  AA   (T)  'MTG_HOLE_C2P50D-NP', 'MTG_HOLE_C2P50D-NP'
H76012       -6.9292    0.0601    0.0  AA   (T)  'MTG_HOLE_C2P50D-NP', 'MTG_HOLE_C2P50D-NP'
H76013       -8.4548    2.3026    0.0  AA   (T)  'MTG_HOLE_C2P50D-NP', 'MTG_HOLE_C2P50D-NP'
H76014       -3.2974    0.2137    0.0  AA   (T)  'MTG_HOLE_C2P50D-NP', 'MTG_HOLE_C2P50D-NP'
H76016       -5.5218    0.4932    0.0  AA   (T)  'MTG_HOLE_C2P50D-NP', 'MTG_HOLE_C2P50D-NP'
H76017       -4.1210    2.3261  315.0  AA   (T)  'MTG_HOLE_C2P50D-NP', 'MTG_HOLE_C2P50D-NP'
H76018       -1.5284    2.6017  315.0  AA   (T)  'MTG_HOLE_C2P50D-NP', 'MTG_HOLE_C2P50D-NP'
H76019       -1.2698    1.0601    0.0  AA   (T)  'MTG_HOLE_C2P50D-NP', 'MTG_HOLE_C2P50D-NP'
H76020       -5.6005    2.4696    0.0  AA   (T)  'MTG_HOLE_C2P50D-NP', 'MTG_HOLE_C2P50D-NP'
H76022       -0.0001    0.0601    0.0  AA   (T)  'MTG_HOLE_C2P30D-NP', 'MTG_HOLE_C2P30D-NP'
MP76002      -3.9280    2.4449    0.0  AA   (T)  'SP-PEM_NUT-M1019199-001', 'SP-PEM_NUT-M1019199-001'
MP76003      -2.1563    2.4449    0.0  AA   (T)  'SP-PEM_NUT-M1019199-001', 'SP-PEM_NUT-M1019199-001'
MP76004      -3.9280    1.2638    0.0  AA   (T)  'SP-PEM_NUT-M1019199-001', 'SP-PEM_NUT-M1019199-001'
MP76005      -2.1563    1.2638    0.0  AA   (T)  'SP-PEM_NUT-M1019199-001', 'SP-PEM_NUT-M1019199-001'
MP76013      -3.7211   -0.2992    0.0  AA   (T)  'CLIP-X943446-001', 'CLIP-X943446-001'
MP76014      -4.6267   -0.2992    0.0  AA   (T)  'CLIP-X943446-001', 'CLIP-X943446-001'
MP76015       0.2356   -0.2992    0.0  AA   (T)  'CLIP-X943446-001', 'CLIP-X943446-001'
MP76016      -1.1621   -0.2992    0.0  AA   (T)  'CLIP-X943446-001', 'CLIP-X943446-001'
MP76017      -2.5400   -0.2992    0.0  AA   (T)  'CLIP-X943446-001', 'CLIP-X943446-001'
MP76042      -4.3157    1.8661    0.0  AA   (T)  'MTG-PAD_M1019383-001', 'MTG-PAD_M1019383-001'
MTP10001     -3.9400    1.8002    0.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP10002     -3.9432    1.9039  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP10003     -4.0400    2.0449  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP10004     -3.9432    1.8508    0.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP10005     -3.9432    1.9571  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP10007     -3.9955    1.9327    0.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP10008     -3.5394    1.2126  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP10009     -4.0900    2.0950  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP10010     -3.9955    1.8819    0.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP10011     -3.9955    1.8307    0.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP10012     -3.9955    1.9874  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP18001     -4.4776    1.8191  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP18002     -4.4587    1.9980  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP20001     -2.3612    1.4921  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP20002     -2.3494    1.5738  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP20003     -1.6831    1.5266  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP25001     -4.8730    2.6178  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP25002     -2.0650    2.0423  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP25003     -2.3841    2.4355  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP25016     -4.9774    2.6230  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP25030     -2.2587    0.4043  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP27001     -4.2579    0.5541  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP27002     -4.2606   -0.0976  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP27003     -4.0404    0.5890  180.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP29001     -4.4124    0.6280   90.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
MTP29002     -4.4675    0.7707   90.0  AA   (B)  'SP_TP_SMDP58MM_B', 'SP_TP_SMDP58MM_B'
